Time,Frequency,Resistance
361, 5009425.228571, 448.752857
362, 5009425.400000, 448.725000
363, 5009425.514286, 448.714286
364, 5009425.771429, 448.704286
365, 5009426.233333, 448.685000
366, 5009426.628571, 448.661429
367, 5009427.142857, 448.637143
368, 5009427.700000, 448.615000
369, 5009428.285714, 448.585714
370, 5009428.785714, 448.555714
371, 5009429.200000, 448.530000
372, 5009429.342857, 448.510000
373, 5009429.471429, 448.500000
374, 5009429.850000, 448.480000
375, 5009430.385714, 448.458571
376, 5009431.057143, 448.421429
377, 5009431.750000, 448.383333
378, 5009432.500000, 448.347143
379, 5009433.257143, 448.301429
380, 5009433.950000, 448.255000
381, 5009434.700000, 448.208571
382, 5009435.150000, 448.173333
383, 5009435.757143, 448.132857
384, 5009436.671429, 448.080000
385, 5009437.614286, 448.011429
386, 5009438.500000, 447.960000
387, 5009439.571429, 447.900000
388, 5009440.571429, 447.840000
389, 5009441.500000, 447.771667
390, 5009442.571429, 447.710000
391, 5009443.171429, 447.647143
392, 5009443.600000, 447.596667
393, 5009444.300000, 447.551429
394, 5009444.960000, 447.518000
395, 5009445.800000, 447.455714
396, 5009446.600000, 447.400000
397, 5009447.514286, 447.342857
398, 5009448.366667, 447.290000
399, 5009448.950000, 447.240000
400, 5009449.514286, 447.190000
401, 5009449.857143, 447.160000
402, 5009450.150000, 447.120000
403, 5009450.700000, 447.095000
404, 5009451.342857, 447.061429
405, 5009451.950000, 447.023333
406, 5009452.550000, 446.976667
407, 5009453.142857, 446.937143
408, 5009453.700000, 446.900000
409, 5009454.400000, 446.860000
410, 5009454.550000, 446.835000
411, 5009454.440000, 446.826000
412, 5009454.600000, 446.804000
413, 5009455.000000, 446.780000
414, 5009455.466667, 446.766667
415, 5009455.780000, 446.750000
416, 5009456.060000, 446.726000
417, 5009456.480000, 446.696000
418, 5009456.700000, 446.675000
419, 5009456.900000, 446.656667
420, 5009456.750000, 446.650000
421, 5009456.500000, 446.650000
422, 5009456.620000, 446.650000
423, 5009456.800000, 446.640000
424, 5009456.975000, 446.625000
425, 5009457.150000, 446.617500
426, 5009457.433333, 446.603333
427, 5009457.550000, 446.587500
428, 5009457.780000, 446.580000
429, 5009457.900000, 446.570000
430, 5009457.650000, 446.570000
431, 5009457.350000, 446.580000
432, 5009457.340000, 446.572000
433, 5009457.460000, 446.570000
434, 5009457.542857, 446.564286
435, 5009457.600000, 446.560000
436, 5009457.650000, 446.555000
437, 5009457.750000, 446.550000
438, 5009457.857143, 446.545714
439, 5009457.650000, 446.546667
440, 5009457.271429, 446.561429
441, 5009457.042857, 446.570000
442, 5009457.000000, 446.570000
443, 5009456.942857, 446.580000
444, 5009456.850000, 446.580000
445, 5009456.800000, 446.597143
446, 5009456.700000, 446.600000
447, 5009456.514286, 446.607143
448, 5009456.350000, 446.616667
449, 5009455.914286, 446.637143
450, 5009455.200000, 446.663333
451, 5009454.900000, 446.680000
452, 5009454.714286, 446.698571
453, 5009454.520000, 446.712000
456, 5009454.000000, 446.750000
457, 5009453.800000, 446.770000
465, 5009451.800000, 446.890000
469, 5009450.000000, 446.980000
470, 5009449.700000, 447.010000
481, 5009446.500000, 447.210000
482, 5009446.200000, 447.240000
490, 5009444.350000, 447.350000
493, 5009444.100000, 447.370000
494, 5009444.100000, 447.380000
495, 5009444.100000, 447.390000
496, 5009444.100000, 447.390000
506, 5009444.000000, 447.420000
508, 5009443.700000, 447.420000
517, 5009445.400000, 447.330000
518, 5009445.400000, 447.320000
521, 5009446.400000, 447.280000
531, 5009450.100000, 447.040000
536, 5009451.900000, 446.930000
537, 5009451.600000, 446.930000
542, 5009452.700000, 446.870000
543, 5009452.700000, 446.850000
546, 5009452.400000, 446.850000
547, 5009452.400000, 446.850000
548, 5009452.300000, 446.850000
549, 5009452.300000, 446.850000
550, 5009452.300000, 446.850000
551, 5009452.300000, 446.854286
552, 5009452.300000, 446.860000
553, 5009452.266667, 446.856667
554, 5009452.157143, 446.852857
555, 5009451.800000, 446.863333
556, 5009451.328571, 446.882857
557, 5009451.100000, 446.900000
558, 5009451.066667, 446.910000
559, 5009450.900000, 446.918333
560, 5009450.833333, 446.928333
561, 5009450.866667, 446.930000
562, 5009450.750000, 446.935000
563, 5009450.600000, 446.945000
564, 5009450.500000, 446.950000
565, 5009450.057143, 446.962857
566, 5009449.550000, 446.985000
567, 5009449.400000, 447.000000
568, 5009449.350000, 447.013333
569, 5009449.300000, 447.020000
570, 5009449.300000, 447.020000
571, 5009449.300000, 447.020000
572, 5009449.325000, 447.020000
573, 5009449.440000, 447.020000
574, 5009449.466667, 447.010000
575, 5009449.250000, 447.017500
576, 5009449.142857, 447.027143
577, 5009449.233333, 447.023333
578, 5009449.300000, 447.020000
579, 5009449.300000, 447.020000
580, 5009449.342857, 447.020000
581, 5009449.400000, 447.016667
582, 5009449.400000, 447.010000
583, 5009449.333333, 447.011667
584, 5009448.942857, 447.022857
585, 5009448.433333, 447.040000
586, 5009448.020000, 447.070000
587, 5009447.860000, 447.090000
588, 5009447.733333, 447.098333
589, 5009447.625000, 447.107500
590, 5009447.700000, 447.110000
591, 5009447.675000, 447.117500
592, 5009447.666667, 447.120000
593, 5009447.771429, 447.120000
594, 5009447.600000, 447.123333
595, 5009447.433333, 447.130000
596, 5009447.671429, 447.127143
597, 5009448.100000, 447.116000
598, 5009448.566667, 447.100000
599, 5009449.014286, 447.065714
600, 5009449.600000, 447.040000
601, 5009450.100000, 447.010000
602, 5009450.714286, 446.984286
603, 5009450.966667, 446.955000
604, 5009450.966667, 446.943333
605, 5009451.233333, 446.926667
606, 5009451.614286, 446.902857
607, 5009452.033333, 446.880000
608, 5009452.414286, 446.852857
609, 5009452.914286, 446.817143
610, 5009453.280000, 446.794000
611, 5009453.814286, 446.761429
612, 5009454.175000, 446.740000
613, 5009454.333333, 446.730000
614, 5009454.314286, 446.730000
615, 5009454.700000, 446.720000
616, 5009455.066667, 446.703333
617, 5009455.600000, 446.675000
618, 5009456.200000, 446.648571
619, 5009456.875000, 446.620000
620, 5009457.850000, 446.570000
621, 5009458.600000, 446.530000
622, 5009459.666667, 446.483333
623, 5009460.133333, 446.440000
624, 5009460.828571, 446.398571
625, 5009461.833333, 446.360000
626, 5009463.071429, 446.300000
627, 5009464.466667, 446.240000
628, 5009465.866667, 446.170000
629, 5009467.100000, 446.100000
630, 5009468.980000, 446.036000
631, 5009470.680000, 445.920000
